,Unnamed: 0,"Activity, Exercise or Sport (1 hour)",Calories per kg
232,232,"walking, snow blower",0.721008179104478
233,233,"riding, snow blower",0.61742672238806
234,234,shoveling snow by hand,1.23485344477612
235,235,raking lawn,0.885519904477612
236,236,"gardening, general",0.823235629850746
237,237,"bagging grass, leaves",0.823235629850746
238,238,watering lawn or garden,0.310067367164179
239,239,"weeding, cultivating garden",0.927494089552239
240,240,"carpentry, general",0.721008179104478
241,241,carrying heavy loads,1.64782526567164
242,242,carrying moderate loads upstairs,1.64782526567164
243,243,general cleaning,0.721008179104478
244,244,"cleaning, dusting",0.515199271641791
245,245,taking out trash,0.61742672238806
246,246,"walking, pushing a wheelchair",0.823235629850746
247,247,"teach physical education,exercise class",0.823235629850746
